partido;zona;votos;percentual
#NULO#;333;134864.0;0.03195542390861105
#NULO#;334;132654.0;0.03143177425534532
#NULO#;31;110596.0;0.026205229435555432
#NULO#;332;105639.0;0.025030690371646718
#NULO#;39;103684.0;0.024567461832219334
#NULO#;38;102084.0;0.02418834896107672
#NULO#;29;99416.0;0.023556178248446406
#NULO#;331;95385.0;0.02260105075871148
#NULO#;35;95181.0;0.022552713867640798
#NULO#;32;94435.0;0.022375952491470553
#NULO#;34;92975.0;0.022030011996552915
#NULO#;28;91290.0;0.021630758754130848
#NULO#;27;87099.0;0.02063771997728166
#NULO#;26;86829.0;0.020573744680276344
#NULO#;37;83577.0;0.01980319776967898
#NULO#;30;83226.0;0.019720029883572066
#NULO#;36;82966.0;0.01965842404201139
#NULO#;33;58143.0;0.013776724791778178
PL;334;46801.0;0.011089288426465964
PL;34;41293.0;0.009784192367557511
PL;332;40060.0;0.009492038511233232
PL;31;38966.0;0.009232820085589469
PSD;333;37004.0;0.008767932927350838
PL;39;35657.0;0.008448767278957648
PL;333;34945.0;0.008280062051299185
PL;32;33441.0;0.007923695952425126
PL;38;33393.0;0.007912322566290847
PL;35;32719.0;0.007752621269322021
PL;26;32712.0;0.007750962650510771
PL;29;32362.0;0.007668031709948325
PL;27;29419.0;0.006970700972590376
PL;331;29118.0;0.006899380363706672
REPUBLICANOS;333;28759.0;0.006814316913244047
PL;30;28688.0;0.006797493779587094
PSD;334;27189.0;0.006442312408435356
PSD;32;27099.0;0.006420987309433584
PSD;34;27076.0;0.006415537561910909
PL;37;26763.0;0.006341373606493635
PL;36;26664.0;0.006317915997591686
PL;33;26064.0;0.006175748670913204
PL;28;25296.0;0.0059937744927647495
PSD;39;24938.0;0.005908947987846589
PSD;30;24719.0;0.005857056913608944
PSD;331;23933.0;0.0056708177156601335
PSD;37;23896.0;0.005662050730514961
PSD;332;23677.0;0.0056101596562773155
PSD;35;23278.0;0.005515618384036126
PSD;26;23172.0;0.005490502156322927
PSD;28;22558.0;0.0053450175920219485
PSD;31;22028.0;0.005219436453455958
PSD;38;21994.0;0.0052113803049441765
PSD;27;21472.0;0.005087694730733898
REPUBLICANOS;334;21146.0;0.00501045048323859
PSD;29;21143.0;0.005009739646605198
PSD;36;19019.0;0.004506467310163376
REPUBLICANOS;31;18220.0;0.004317147820136533
REPUBLICANOS;331;17552.0;0.004158868196434491
REPUBLICANOS;38;17370.0;0.004115744107342018
REPUBLICANOS;332;15791.0;0.00374160709263315
REPUBLICANOS;29;15689.0;0.003717438647097808
REPUBLICANOS;39;15589.0;0.0036937440926513945
REPUBLICANOS;28;15031.0;0.0035615284788404074
PSD;33;14954.0;0.003543283671916669
MDB;39;14832.0;0.003514376315492045
REPUBLICANOS;36;14667.0;0.0034752803006554626
REPUBLICANOS;37;14661.0;0.0034738586273886777
NOVO;34;13258.0;0.003141424028505497
REPUBLICANOS;27;13024.0;0.0030859787711008894
REPUBLICANOS;35;12490.0;0.0029594498503570416
MDB;34;12477.0;0.0029563695582790076
MDB;31;12168.0;0.00288315338503959
MDB;35;12066.0;0.0028589849395042484
MDB;332;12056.0;0.002856615484059607
REPUBLICANOS;32;11961.0;0.002834105657335514
MDB;334;11374.0;0.002695018622735067
PODE;334;11288.0;0.0026746413059111516
PT;34;11248.0;0.0026651634841325864
REPUBLICANOS;30;11148.0;0.0026414689296861728
PT;35;11089.0;0.0026274891425627886
PODE;38;10845.0;0.00256967442971354
PODE;29;10731.0;0.0025426626376446287
PT;333;10701.0;0.0025355542713107046
PT;26;10655.0;0.0025246547762653544
MDB;333;10369.0;0.002456888350548612
PT;334;10187.0;0.0024137642614561394
MDB;32;9954.0;0.002358555949595996
PT;332;9889.0;0.0023431544892058274
PDT;31;9886.0;0.002342443652572435
PDT;26;9813.0;0.002325146627826553
MDB;28;9775.0;0.002316142697136916
MDB;26;9565.0;0.002266384132799448
PT;29;9132.0;0.0021637867120464773
PDT;332;9062.0;0.002147200523933988
PT;31;9028.0;0.002139144375422207
PDT;334;8958.0;0.0021225581873097177
PODE;28;8874.0;0.0021026547615747306
MDB;29;8798.0;0.0020846469001954563
PT;33;8754.0;0.0020742212962390344
REPUBLICANOS;34;8725.0;0.0020673498754495744
MDB;27;8668.0;0.002053843979415119
MDB;30;8546.0;0.0020249366229904944
MDB;331;8526.0;0.002020197712101212
NOVO;332;8421.0;0.0019953184299324775
MDB;33;8419.0;0.001994844538843549
PDT;34;8332.0;0.0019742302764751696
PDT;32;8205.0;0.0019441381923282245
PDT;35;8067.0;0.001911439707192174
PT;32;8040.0;0.0019050421774916423
PT;30;7867.0;0.001864050598299347
PDT;29;7713.0;0.0018275609844518703
REPUBLICANOS;26;7687.0;0.0018214004002958027
PC do B;331;7665.0;0.0018161875983175918
SOLIDARIEDADE;38;7573.0;0.0017943886082268914
NOVO;33;7484.0;0.0017733004547695835
PDT;39;7450.0;0.001765244306257803
DC;28;7404.0;0.0017543448112124528
NOVO;35;7368.0;0.001745814771611744
PP;27;7346.0;0.001740601969633533
MDB;38;7284.0;0.0017259113458767566
MDB;37;7225.0;0.0017119315587533726
PDT;30;7210.0;0.0017083773755864106
PDT;27;7151.0;0.0016943975884630266
PT;36;6952.0;0.0016472454251146638
PODE;333;6880.0;0.001630185345913246
PT;39;6764.0;0.0016026996627554065
PT;27;6652.0;0.0015761617617754235
PDT;333;6630.0;0.0015709489597972126
PRD;333;6615.0;0.0015673947766302505
PDT;33;6569.0;0.0015564952815849003
PT;37;6564.0;0.0015553105538625796
PT;28;6510.0;0.0015425154944615164
PDT;331;6314.0;0.001496074167746546
SOLIDARIEDADE;39;6279.0;0.0014877810736903013
PRD;37;6133.0;0.0014531870241985376
PP;332;6102.0;0.0014458417123201495
AVANTE;29;6049.0;0.0014332835984635502
MDB;36;6010.0;0.0014240427222294491
PODE;26;5980.0;0.001416934355895525
PP;32;5969.0;0.0014143279549064195
PP;331;5921.0;0.001402954568772141
PDT;28;5687.0;0.0013475093113675335
PT;38;5609.0;0.001329027558899331
PMB;28;5579.0;0.001321919192565407
MOBILIZA;333;5554.0;0.0013159955539538038
PSOL;26;5543.0;0.0013133891529646983
PODE;31;5472.0;0.0012965660193077447
PDT;37;5465.0;0.0012949074004964956
PP;37;5416.0;0.001283297068817753
PSOL;34;5410.0;0.0012818753955509683
MOBILIZA;27;5389.0;0.0012768995391172215
PDT;38;5356.0;0.0012690803361499051
PP;334;5252.0;0.001244437999525635
PT;331;5232.0;0.0012396990886363523
PODE;36;5095.0;0.001207237549044766
PV;334;4997.0;0.0011840168856872807
PODE;35;4959.0;0.0011750129549976435
SOLIDARIEDADE;333;4944.0;0.0011714587718306816
AVANTE;31;4935.0;0.0011693262619305042
PDT;36;4884.0;0.0011572420391628335
PRD;332;4811.0;0.0011399450144169516
UNIÃO;331;4690.0;0.0011112746035367913
MOBILIZA;331;4670.0;0.0011065356926475086
SOLIDARIEDADE;31;4668.0;0.0011060618015585803
PP;39;4667.0;0.0011058248560141162
PSOL;33;4651.0;0.0011020337273026902
UNIÃO;36;4557.0;0.0010797608461230615
NOVO;32;4539.0;0.001075495826322707
PSOL;332;4523.0;0.001071704697611281
PSOL;35;4513.0;0.0010693352421666396
SOLIDARIEDADE;32;4502.0;0.001066728841177534
PSOL;31;4499.0;0.0010660180045441417
REPUBLICANOS;33;4439.0;0.0010518012718762936
NOVO;31;4419.0;0.001047062360987011
PP;35;4412.0;0.001045403742175762
NOVO;26;4197.0;0.000994460450115973
PRD;36;4096.0;0.0009705289501250954
PODE;39;4054.0;0.0009605772372576017
PP;38;4045.0;0.0009584447273574245
PRD;31;4006.0;0.0009492038511233233
PSOL;334;3989.0;0.000945175776867433
SOLIDARIEDADE;334;3915.0;0.000927641806577087
PP;30;3783.0;0.0008963649947078213
SOLIDARIEDADE;332;3732.0;0.0008842807719401503
DC;331;3652.0;0.0008653251283830196
PSOL;32;3615.0;0.0008565581432378466
UNIÃO;334;3570.0;0.0008458955937369606
PP;36;3506.0;0.000830731078891256
UNIÃO;333;3494.0;0.0008278877323576863
UNIÃO;37;3482.0;0.0008250443858241167
AGIR;334;3451.0;0.0008176990739457285
PSOL;29;3419.0;0.0008101168165228763
DC;334;3334.0;0.0007899764452434248
PSOL;30;3301.0;0.0007821572422761084
AVANTE;38;3244.0;0.0007686513462416527
PP;29;3164.0;0.0007496957026845219
PRD;34;3140.0;0.0007440090096173827
PMB;332;3084.0;0.0007307400591273911
AGIR;333;3061.0;0.0007252903116047161
PSB;35;3061.0;0.0007252903116047161
DC;31;3011.0;0.0007134430343815094
CIDADANIA;333;2988.0;0.0007079932868588343
PP;34;2981.0;0.0007063346680475853
PRD;35;2933.0;0.0006949612819133068
NOVO;334;2883.0;0.0006831140046901
PP;31;2867.0;0.0006793228759786739
PODE;27;2841.0;0.0006731622918226065
PRD;30;2840.0;0.0006729253462781423
AVANTE;333;2834.0;0.0006715036730113575
PSOL;39;2823.0;0.0006688972720222521
PRD;334;2816.0;0.0006672386532110031
AVANTE;334;2784.0;0.0006596563957881507
UNIÃO;28;2777.0;0.0006579977769769019
NOVO;29;2776.0;0.0006577608314324377
PSOL;333;2771.0;0.0006565761037101171
PMB;333;2755.0;0.0006527849749986908
PRD;27;2742.0;0.0006497046829206572
CIDADANIA;29;2735.0;0.0006480460641094082
UNIÃO;332;2725.0;0.0006456766086647668
PODE;32;2691.0;0.0006376204601529862
PODE;37;2670.0;0.0006326446037192394
PSOL;27;2649.0;0.0006276687472854926
DC;333;2646.0;0.0006269579106521002
DC;32;2605.0;0.0006172431433290707
PODE;30;2596.0;0.0006151106334288935
PODE;332;2550.0;0.0006042111383835432
PODE;331;2534.0;0.0006004200096721171
PRD;26;2522.0;0.0005975766631385475
NOVO;30;2517.0;0.0005963919354162268
DC;30;2497.0;0.0005916530245269441
PMB;331;2474.0;0.000586203277004269
PP;26;2462.0;0.0005833599304706994
UNIÃO;39;2433.0;0.0005764885096812395
DC;26;2426.0;0.0005748298908699906
REDE;27;2387.0;0.0005655890146358893
PRD;39;2380.0;0.0005639303958246403
AGIR;36;2366.0;0.0005606131582021425
PRD;29;2357.0;0.0005584806483019653
PRD;32;2322.0;0.0005501875542457205
NOVO;27;2286.0;0.0005416575146450117
DC;27;2268.0;0.0005373924948446574
AGIR;38;2261.0;0.0005357338760334084
PSOL;38;2195.0;0.0005200954700987755
PRD;28;2148.0;0.0005089590295089612
CIDADANIA;39;2121.0;0.0005025614998084296
PSOL;28;2120.0;0.0005023245542639654
PRD;33;2119.0;0.0005020876087195013
DC;39;2104.0;0.0004985334255525393
DC;38;2104.0;0.0004985334255525393
PSOL;37;2036.0;0.00048242112852897806
PRD;38;2028.0;0.000480525564173265
PMB;36;2024.0;0.00047957778199540844
PP;28;2002.0;0.0004743649800171975
PP;333;1998.0;0.00047341719783934095
UNIÃO;27;1985.0;0.00047033690576130723
PODE;34;1974.0;0.00046773050477220176
CIDADANIA;30;1968.0;0.00046630883150541695
MOBILIZA;28;1949.0;0.00046180686616059837
REDE;28;1942.0;0.0004601482473493494
SOLIDARIEDADE;29;1940.0;0.00045967435626042115
AVANTE;39;1937.0;0.00045896351962702875
MOBILIZA;37;1936.0;0.00045872657408256465
SOLIDARIEDADE;30;1932.0;0.0004577787919047081
UNIÃO;32;1925.0;0.0004561201730934591
PV;31;1883.0;0.0004461684602259655
PRD;331;1859.0;0.00044048176715882626
MOBILIZA;29;1852.0;0.0004388231483475773
CIDADANIA;26;1849.0;0.0004381123117141849
PMB;30;1831.0;0.00043384729191383046
UNIÃO;30;1820.0;0.000431240890924725
MOBILIZA;31;1818.0;0.00043076699983579675
DC;35;1810.0;0.0004288714354800837
NOVO;39;1802.0;0.00042697587112437057
PSOL;36;1791.0;0.0004243694701352651
CIDADANIA;334;1789.0;0.00042389557904633685
CIDADANIA;31;1753.0;0.000415365539445628
PP;33;1720.0;0.0004075463364783115
PV;39;1719.0;0.00040730939093384743
SOLIDARIEDADE;26;1706.0;0.00040422909885581365
SOLIDARIEDADE;37;1700.0;0.00040280742558902884
AGIR;35;1700.0;0.00040280742558902884
NOVO;38;1688.0;0.0003999640790554592
NOVO;37;1663.0;0.0003940404404438559
DC;29;1639.0;0.00038835374737671664
UNIÃO;29;1595.0;0.0003779281434202947
CIDADANIA;28;1580.0;0.0003743739602533327
CIDADANIA;332;1569.0;0.0003717675592642272
AVANTE;36;1563.0;0.0003703458859974424
CIDADANIA;32;1555.0;0.00036845032164172935
PSB;334;1539.0;0.00036465919293030317
UNIÃO;34;1538.0;0.00036442224738583907
AVANTE;32;1538.0;0.00036442224738583907
CIDADANIA;34;1534.0;0.0003634744652079825
SOLIDARIEDADE;28;1532.0;0.00036300057411905426
DC;332;1524.0;0.00036110500976334114
PSOL;331;1521.0;0.00036039417312994874
AVANTE;332;1520.0;0.00036015722758548464
UNIÃO;31;1500.0;0.00035541831669620196
MOBILIZA;36;1470.0;0.0003483099503622779
AVANTE;331;1440.0;0.00034120158402835385
SOLIDARIEDADE;331;1428.0;0.00033835823749478423
CIDADANIA;35;1393.0;0.0003300651434385395
PMB;35;1389.0;0.00032911736126068296
CIDADANIA;38;1387.0;0.0003286434701717547
DC;37;1377.0;0.0003262740147271134
MOBILIZA;334;1358.0;0.0003217720493822948
PSB;32;1352.0;0.00032035037611551
AVANTE;27;1349.0;0.0003196395394821176
SOLIDARIEDADE;27;1329.0;0.0003149006285928349
AVANTE;30;1318.0;0.00031229422760372944
PSB;26;1304.0;0.0003089769899812315
UNIÃO;26;1297.0;0.0003073183711699826
PSB;30;1289.0;0.00030542280681426955
SOLIDARIEDADE;34;1288.0;0.0003051858612698054
UNIÃO;38;1287.0;0.00030494891572534124
PMB;29;1260.0;0.00029855138602480965
MOBILIZA;32;1249.0;0.0002959449850357041
DC;34;1236.0;0.0002928646929576704
PMB;38;1234.0;0.0002923908018687421
SOLIDARIEDADE;35;1227.0;0.0002907321830574932
PV;34;1216.0;0.0002881257820683877
CIDADANIA;27;1215.0;0.00028788883652392357
PV;26;1209.0;0.00028646716325713876
CIDADANIA;37;1197.0;0.00028362381672356914
DC;36;1173.0;0.0002779371236564299
SOLIDARIEDADE;36;1172.0;0.0002777001781119658
PMB;31;1165.0;0.00027604155930071683
PODE;33;1145.0;0.00027130264841143415
NOVO;333;1127.0;0.0002670376286110797
PMB;334;1111.0;0.00026324649989965354
NOVO;331;1109.0;0.0002627726088107253
REDE;333;1102.0;0.0002611139899994763
PV;35;1089.0;0.0002580336979214426
NOVO;28;1086.0;0.0002573228612880502
PSDB;32;1084.0;0.00025684897019912195
NOVO;36;1083.0;0.0002566120246546578
UNIÃO;35;1077.0;0.000255190351387873
PMB;39;1060.0;0.0002511622771319827
PSDB;27;1052.0;0.00024926671277626964
PV;33;1048.0;0.0002483189305984131
REDE;26;1038.0;0.0002459494751537717
PV;29;1027.0;0.00024334307416466625
CIDADANIA;33;1015.0;0.00024049972763109663
AGIR;31;1008.0;0.0002388411088198477
PSB;29;1006.0;0.00023836721773091944
AGIR;39;1006.0;0.00023836721773091944
PSB;39;1001.0;0.00023718249000859875
AVANTE;37;995.0;0.00023576081674181394
CIDADANIA;331;986.0;0.00023362830684163673
PSB;31;970.0;0.00022983717813021058
PSB;27;969.0;0.00022960023258574645
PV;30;940.0;0.00022272881179628655
REDE;35;926.0;0.00021941157417378865
PV;38;911.0;0.00021585739100682662
PV;37;906.0;0.00021467266328450597
PC do B;27;882.0;0.00020898597021736673
PV;332;878.0;0.0002080381880395102
MOBILIZA;39;874.0;0.00020709040586165366
REDE;332;866.0;0.00020519484150594057
MOBILIZA;30;859.0;0.00020353622269469164
PMB;26;855.0;0.0002025884405168351
PMB;32;850.0;0.00020140371279451442
AVANTE;26;844.0;0.0001999820395277296
PV;32;840.0;0.00019903425734987308
PSDB;28;832.0;0.00019713869299416
PC do B;333;824.0;0.00019524312863844693
PSB;28;822.0;0.00019476923754951865
MOBILIZA;26;818.0;0.00019382145537166212
PC do B;28;813.0;0.00019263672764934143
AGIR;32;799.0;0.00018931949002684356
REDE;34;797.0;0.00018884559893791528
AGIR;37;774.0;0.0001833958514152402
PMB;37;770.0;0.00018244806923738366
PC do B;26;758.0;0.00017960472270381404
CIDADANIA;36;755.0;0.00017889388607042163
PMB;27;752.0;0.00017818304943702923
PSB;38;752.0;0.00017818304943702923
DC;33;751.0;0.0001779461038925651
PC do B;32;735.0;0.00017415497518113895
MOBILIZA;332;716.0;0.0001696530098363204
AVANTE;35;709.0;0.00016799439102507146
MOBILIZA;38;704.0;0.00016680966330275077
PV;331;692.0;0.00016396631676918115
PC do B;29;688.0;0.00016301853459132462
MOBILIZA;35;680.0;0.00016112297023561153
PC do B;332;678.0;0.00016064907914668328
PSDB;331;655.0;0.00015519933162400816
PSB;333;650.0;0.0001540146039016875
AVANTE;28;639.0;0.000151408202912582
PC do B;31;624.0;0.00014785401974562
PSB;37;621.0;0.0001471431831122276
REDE;33;617.0;0.00014619540093437105
PSDB;26;615.0;0.0001457215098454428
PC do B;39;598.0;0.0001416934355895525
AVANTE;34;589.0;0.0001395609256893753
PC do B;35;585.0;0.00013861314351151875
PC do B;34;578.0;0.0001369545247002698
AGIR;29;574.0;0.00013600674252241328
PSDB;39;569.0;0.0001348220148000926
PC do B;30;561.0;0.00013292645044437953
PV;27;561.0;0.00013292645044437953
AGIR;27;560.0;0.00013268950489991538
PSB;331;549.0;0.0001300831039108099
PC do B;33;543.0;0.0001286614306440251
PSDB;38;539.0;0.00012771364846616857
AGIR;28;534.0;0.00012652892074384788
REDE;31;532.0;0.0001260550296549196
UNIÃO;33;530.0;0.00012558113856599135
SOLIDARIEDADE;33;524.0;0.00012415946529920654
MOBILIZA;34;523.0;0.00012392251975474242
AGIR;332;519.0;0.00012297473757688586
PSB;34;516.0;0.00012226390094349345
PSB;332;507.0;0.00012013139104331625
PSDB;334;501.0;0.00011870971777653144
UP;26;497.0;0.00011776193559867491
PV;28;493.0;0.00011681415342081836
UP;31;493.0;0.00011681415342081836
AGIR;30;492.0;0.00011657720787635424
AGIR;34;488.0;0.00011562942569849769
PC do B;334;479.0;0.00011349691579832048
REDE;32;477.0;0.00011302302470939221
REDE;334;474.0;0.0001123121880759998
AGIR;331;471.0;0.0001116013514426074
REDE;331;454.0;0.00010757327718671712
AVANTE;33;450.0;0.00010662549500886058
AGIR;26;449.0;0.00010638854946439644
PSDB;36;449.0;0.00010638854946439644
REDE;29;440.0;0.00010425603956421924
UP;32;435.0;0.00010307131184189857
PSDB;35;431.0;0.00010212352966404202
PMB;34;428.0;0.00010141269303064962
UP;39;418.0;9.904323758600827e-05
REDE;30;414.0;9.809545540815173e-05
UP;333;414.0;9.809545540815173e-05
UP;34;411.0;9.738461877475932e-05
REDE;39;396.0;9.383043560779731e-05
UP;334;393.0;9.31195989744049e-05
PSDB;30;392.0;9.288265342994077e-05
UP;332;392.0;9.288265342994077e-05
UP;33;392.0;9.288265342994077e-05
PSB;33;391.0;9.264570788547664e-05
REDE;38;384.0;9.098708907422769e-05
UP;35;380.0;9.003930689637116e-05
PSDB;333;379.0;8.980236135190702e-05
PV;333;372.0;8.814374254065808e-05
PRTB;31;365.0;8.648512372940913e-05
UP;29;356.0;8.435261382923192e-05
PSB;36;341.0;8.07984306622699e-05
PSDB;29;327.0;7.748119303977202e-05
PV;36;311.0;7.369006432834587e-05
PSTU;36;307.0;7.274228215048932e-05
MOBILIZA;33;301.0;7.132060888370453e-05
UP;331;300.0;7.108366333924039e-05
REDE;37;295.0;6.989893561691971e-05
PC do B;38;293.0;6.942504452799145e-05
REDE;36;292.0;6.918809898352731e-05
PMB;33;289.0;6.84772623501349e-05
PSDB;34;280.0;6.634475244995769e-05
PSDB;31;268.0;6.350140591638808e-05
UP;27;265.0;6.279056928299568e-05
UP;30;264.0;6.255362373853154e-05
PRTB;331;264.0;6.255362373853154e-05
AGIR;33;253.0;5.9947222749426055e-05
UP;28;240.0;5.686693067139231e-05
PSTU;334;220.0;5.212801978210962e-05
UP;38;217.0;5.141718314871721e-05
UP;37;210.0;4.975856433746827e-05
PSTU;333;209.0;4.952161879300414e-05
PC do B;37;209.0;4.952161879300414e-05
UP;36;204.0;4.833689107068346e-05
PSTU;29;201.0;4.762605443729106e-05
PSDB;33;199.0;4.715216334836279e-05
PSTU;26;196.0;4.6441326714970383e-05
PSTU;31;196.0;4.6441326714970383e-05
PSDB;332;195.0;4.620438117050625e-05
PSTU;332;172.0;4.0754633647831155e-05
PC do B;36;171.0;4.051768810336702e-05
PSTU;34;164.0;3.885906929211808e-05
PSDB;37;163.0;3.862212374765394e-05
PRTB;334;157.0;3.7200450480869136e-05
PRTB;32;149.0;3.530488612515606e-05
PSTU;32;144.0;3.412015840283538e-05
PSTU;39;141.0;3.3409321769442984e-05
PRTB;29;140.0;3.3172376224978844e-05
PRTB;39;138.0;3.269848513605058e-05
PSTU;35;136.0;3.2224594047122306e-05
PSTU;37;132.0;3.127681186926577e-05
PSTU;30;132.0;3.127681186926577e-05
PSTU;33;120.0;2.8433465335696154e-05
PRTB;28;116.0;2.7485683157839616e-05
PRTB;38;106.0;2.511622771319827e-05
PSTU;28;104.0;2.464233662427e-05
PSTU;38;97.0;2.298371781302106e-05
PSTU;27;97.0;2.298371781302106e-05
PCB;31;95.0;2.250982672409279e-05
PSTU;331;91.0;2.1562044546236252e-05
PRTB;27;87.0;2.061426236837971e-05
PRTB;30;85.0;2.014037127945144e-05
PRTB;332;81.0;1.9192589101594903e-05
PRTB;26;72.0;1.706007920141769e-05
PRTB;37;61.0;1.4453678212312212e-05
PCB;334;59.0;1.3979787123383943e-05
PRTB;34;57.0;1.3505896034455674e-05
PRTB;36;56.0;1.3268950489991539e-05
PRTB;33;53.0;1.2558113856599136e-05
PRTB;333;49.0;1.1610331678742596e-05
PCB;29;47.0;1.1136440589814327e-05
PCB;38;46.0;1.0899495045350192e-05
PCO;26;46.0;1.0899495045350192e-05
PCB;28;44.0;1.0425603956421923e-05
PCB;32;43.0;1.0188658411957789e-05
PRTB;35;43.0;1.0188658411957789e-05
PCB;27;41.0;9.71476732302952e-06
PCB;333;41.0;9.71476732302952e-06
PCO;29;41.0;9.71476732302952e-06
PCB;39;40.0;9.477821778565385e-06
PCB;26;39.0;9.24087623410125e-06
PCO;334;38.0;9.003930689637116e-06
PCO;31;38.0;9.003930689637116e-06
PCO;30;38.0;9.003930689637116e-06
PCB;30;37.0;8.76698514517298e-06
PCB;35;36.0;8.530039600708846e-06
PCO;28;36.0;8.530039600708846e-06
PCB;34;36.0;8.530039600708846e-06
PCB;37;35.0;8.293094056244711e-06
PCO;34;29.0;6.871420789459904e-06
PCB;332;29.0;6.871420789459904e-06
PCO;32;28.0;6.6344752449957696e-06
PCB;36;28.0;6.6344752449957696e-06
PCO;333;27.0;6.397529700531635e-06
PCO;332;27.0;6.397529700531635e-06
PCB;331;26.0;6.1605841560675e-06
PCO;35;26.0;6.1605841560675e-06
PCO;33;24.0;5.686693067139231e-06
PCO;36;23.0;5.449747522675096e-06
PCO;38;21.0;4.975856433746827e-06
PCO;39;20.0;4.738910889282693e-06
PCO;27;19.0;4.501965344818558e-06
PCB;33;19.0;4.501965344818558e-06
PCO;37;17.0;4.028074255890288e-06
PCO;331;13.0;3.08029207803375e-06
