partido;zona;votos
#NULO#;26;8938.0
#NULO#;27;9306.0
#NULO#;28;9959.0
#NULO#;29;11684.0
#NULO#;30;9263.0
#NULO#;31;12980.0
#NULO#;32;10093.0
#NULO#;33;4887.0
#NULO#;331;10502.0
#NULO#;332;10972.0
#NULO#;333;17097.0
#NULO#;334;16690.0
#NULO#;34;7866.0
#NULO#;35;9751.0
#NULO#;36;10859.0
#NULO#;37;9557.0
#NULO#;38;13507.0
#NULO#;39;12683.0
AGIR;26;449.0
AGIR;27;560.0
AGIR;28;534.0
AGIR;29;574.0
AGIR;30;492.0
AGIR;31;1008.0
AGIR;32;799.0
AGIR;33;253.0
AGIR;331;471.0
AGIR;332;519.0
AGIR;333;3061.0
AGIR;334;3451.0
AGIR;34;488.0
AGIR;35;1700.0
AGIR;36;2366.0
AGIR;37;774.0
AGIR;38;2261.0
AGIR;39;1006.0
AVANTE;26;844.0
AVANTE;27;1349.0
AVANTE;28;639.0
AVANTE;29;6049.0
AVANTE;30;1318.0
AVANTE;31;4935.0
AVANTE;32;1538.0
AVANTE;33;450.0
AVANTE;331;1440.0
AVANTE;332;1520.0
AVANTE;333;2834.0
AVANTE;334;2784.0
AVANTE;34;589.0
AVANTE;35;709.0
AVANTE;36;1563.0
AVANTE;37;995.0
AVANTE;38;3244.0
AVANTE;39;1937.0
CIDADANIA;26;1849.0
CIDADANIA;27;1215.0
CIDADANIA;28;1580.0
CIDADANIA;29;2735.0
CIDADANIA;30;1968.0
CIDADANIA;31;1753.0
CIDADANIA;32;1555.0
CIDADANIA;33;1015.0
CIDADANIA;331;986.0
CIDADANIA;332;1569.0
CIDADANIA;333;2988.0
CIDADANIA;334;1789.0
CIDADANIA;34;1534.0
CIDADANIA;35;1393.0
CIDADANIA;36;755.0
CIDADANIA;37;1197.0
CIDADANIA;38;1387.0
CIDADANIA;39;2121.0
DC;26;2426.0
DC;27;2268.0
DC;28;7404.0
DC;29;1639.0
DC;30;2497.0
DC;31;3011.0
DC;32;2605.0
DC;33;751.0
DC;331;3652.0
DC;332;1524.0
DC;333;2646.0
DC;334;3334.0
DC;34;1236.0
DC;35;1810.0
DC;36;1173.0
DC;37;1377.0
DC;38;2104.0
DC;39;2104.0
MDB;26;1576.0
MDB;27;2379.0
MDB;28;3210.0
MDB;29;1560.0
MDB;30;1757.0
MDB;31;3366.0
MDB;32;2352.0
MDB;33;1189.0
MDB;331;2977.0
MDB;332;2511.0
MDB;333;2611.0
MDB;334;2465.0
MDB;34;1781.0
MDB;35;2535.0
MDB;36;1430.0
MDB;37;1388.0
MDB;38;1539.0
MDB;39;7462.0
MOBILIZA;26;818.0
MOBILIZA;27;5389.0
MOBILIZA;28;1949.0
MOBILIZA;29;1852.0
MOBILIZA;30;859.0
MOBILIZA;31;1818.0
MOBILIZA;32;1249.0
MOBILIZA;33;301.0
MOBILIZA;331;4670.0
MOBILIZA;332;716.0
MOBILIZA;333;5554.0
MOBILIZA;334;1358.0
MOBILIZA;34;523.0
MOBILIZA;35;680.0
MOBILIZA;36;1470.0
MOBILIZA;37;1936.0
MOBILIZA;38;704.0
MOBILIZA;39;874.0
NOVO;26;4197.0
NOVO;27;2286.0
NOVO;28;1086.0
NOVO;29;2776.0
NOVO;30;2517.0
NOVO;31;4419.0
NOVO;32;4539.0
NOVO;33;7484.0
NOVO;331;1109.0
NOVO;332;8421.0
NOVO;333;1127.0
NOVO;334;2883.0
NOVO;34;13258.0
NOVO;35;7368.0
NOVO;36;1083.0
NOVO;37;1663.0
NOVO;38;1688.0
NOVO;39;1802.0
PC do B;26;758.0
PC do B;27;882.0
PC do B;28;813.0
PC do B;29;688.0
PC do B;30;561.0
PC do B;31;624.0
PC do B;32;735.0
PC do B;33;543.0
PC do B;331;7665.0
PC do B;332;678.0
PC do B;333;824.0
PC do B;334;479.0
PC do B;34;578.0
PC do B;35;585.0
PC do B;36;171.0
PC do B;37;209.0
PC do B;38;293.0
PC do B;39;598.0
PCB;26;39.0
PCB;27;41.0
PCB;28;44.0
PCB;29;47.0
PCB;30;37.0
PCB;31;95.0
PCB;32;43.0
PCB;33;19.0
PCB;331;26.0
PCB;332;29.0
PCB;333;41.0
PCB;334;59.0
PCB;34;36.0
PCB;35;36.0
PCB;36;28.0
PCB;37;35.0
PCB;38;46.0
PCB;39;40.0
PCO;26;30.0
PCO;27;9.0
PCO;28;27.0
PCO;29;25.0
PCO;30;22.0
PCO;31;17.0
PCO;32;15.0
PCO;33;12.0
PCO;331;9.0
PCO;332;17.0
PCO;333;16.0
PCO;334;19.0
PCO;34;16.0
PCO;35;12.0
PCO;36;8.0
PCO;37;7.0
PCO;38;8.0
PCO;39;11.0
PDT;26;2553.0
PDT;27;2572.0
PDT;28;1309.0
PDT;29;1726.0
PDT;30;1758.0
PDT;31;2508.0
PDT;32;2205.0
PDT;33;1459.0
PDT;331;2657.0
PDT;332;2172.0
PDT;333;1707.0
PDT;334;2064.0
PDT;34;2038.0
PDT;35;2247.0
PDT;36;1108.0
PDT;37;1424.0
PDT;38;1248.0
PDT;39;2425.0
PL;26;9445.0
PL;27;7240.0
PL;28;5183.0
PL;29;7646.0
PL;30;7761.0
PL;31;9705.0
PL;32;8857.0
PL;33;8170.0
PL;331;8041.0
PL;332;11303.0
PL;333;6927.0
PL;334;13429.0
PL;34;12354.0
PL;35;9159.0
PL;36;6132.0
PL;37;6222.0
PL;38;9848.0
PL;39;10244.0
PMB;26;855.0
PMB;27;752.0
PMB;28;5579.0
PMB;29;1260.0
PMB;30;1831.0
PMB;31;1165.0
PMB;32;850.0
PMB;33;289.0
PMB;331;2474.0
PMB;332;3084.0
PMB;333;2755.0
PMB;334;1111.0
PMB;34;428.0
PMB;35;1389.0
PMB;36;2024.0
PMB;37;770.0
PMB;38;1234.0
PMB;39;1060.0
PODE;26;5490.0
PODE;27;2173.0
PODE;28;7965.0
PODE;29;9801.0
PODE;30;2082.0
PODE;31;4751.0
PODE;32;2173.0
PODE;33;961.0
PODE;331;1848.0
PODE;332;1946.0
PODE;333;5648.0
PODE;334;10161.0
PODE;34;1587.0
PODE;35;4266.0
PODE;36;4452.0
PODE;37;1922.0
PODE;38;9876.0
PODE;39;3353.0
PP;26;2462.0
PP;27;7346.0
PP;28;2002.0
PP;29;3164.0
PP;30;3783.0
PP;31;2867.0
PP;32;5969.0
PP;33;1720.0
PP;331;5921.0
PP;332;6102.0
PP;333;1998.0
PP;334;5252.0
PP;34;2981.0
PP;35;4412.0
PP;36;3506.0
PP;37;5416.0
PP;38;4045.0
PP;39;4667.0
PRD;26;2522.0
PRD;27;2742.0
PRD;28;2148.0
PRD;29;2357.0
PRD;30;2840.0
PRD;31;4006.0
PRD;32;2322.0
PRD;33;2119.0
PRD;331;1859.0
PRD;332;4811.0
PRD;333;6615.0
PRD;334;2816.0
PRD;34;3140.0
PRD;35;2933.0
PRD;36;4096.0
PRD;37;6133.0
PRD;38;2028.0
PRD;39;2380.0
PRTB;26;72.0
PRTB;27;87.0
PRTB;28;116.0
PRTB;29;140.0
PRTB;30;85.0
PRTB;31;365.0
PRTB;32;149.0
PRTB;33;53.0
PRTB;331;264.0
PRTB;332;81.0
PRTB;333;49.0
PRTB;334;157.0
PRTB;34;57.0
PRTB;35;43.0
PRTB;36;56.0
PRTB;37;61.0
PRTB;38;106.0
PRTB;39;138.0
PSB;26;1304.0
PSB;27;969.0
PSB;28;822.0
PSB;29;1006.0
PSB;30;1289.0
PSB;31;970.0
PSB;32;1352.0
PSB;33;391.0
PSB;331;549.0
PSB;332;507.0
PSB;333;650.0
PSB;334;1539.0
PSB;34;516.0
PSB;35;3061.0
PSB;36;341.0
PSB;37;621.0
PSB;38;752.0
PSB;39;1001.0
PSD;26;3997.0
PSD;27;3732.0
PSD;28;3563.0
PSD;29;3614.0
PSD;30;7580.0
PSD;31;3271.0
PSD;32;6751.0
PSD;33;2739.0
PSD;331;3327.0
PSD;332;4000.0
PSD;333;12545.0
PSD;334;3863.0
PSD;34;7709.0
PSD;35;4615.0
PSD;36;5312.0
PSD;37;7942.0
PSD;38;3404.0
PSD;39;4147.0
PSDB;26;615.0
PSDB;27;1052.0
PSDB;28;832.0
PSDB;29;327.0
PSDB;30;392.0
PSDB;31;268.0
PSDB;32;1084.0
PSDB;33;199.0
PSDB;331;655.0
PSDB;332;195.0
PSDB;333;379.0
PSDB;334;501.0
PSDB;34;280.0
PSDB;35;431.0
PSDB;36;449.0
PSDB;37;163.0
PSDB;38;539.0
PSDB;39;569.0
PSOL;26;5543.0
PSOL;27;2649.0
PSOL;28;2120.0
PSOL;29;3419.0
PSOL;30;3301.0
PSOL;31;4499.0
PSOL;32;3615.0
PSOL;33;4651.0
PSOL;331;1521.0
PSOL;332;4523.0
PSOL;333;2771.0
PSOL;334;3989.0
PSOL;34;5410.0
PSOL;35;4513.0
PSOL;36;1791.0
PSOL;37;2036.0
PSOL;38;2195.0
PSOL;39;2823.0
PSTU;26;161.0
PSTU;27;73.0
PSTU;28;67.0
PSTU;29;164.0
PSTU;30;107.0
PSTU;31;148.0
PSTU;32;106.0
PSTU;33;91.0
PSTU;331;59.0
PSTU;332;134.0
PSTU;333;160.0
PSTU;334;151.0
PSTU;34;133.0
PSTU;35;103.0
PSTU;36;271.0
PSTU;37;96.0
PSTU;38;64.0
PSTU;39;101.0
PT;26;7273.0
PT;27;4265.0
PT;28;3643.0
PT;29;5738.0
PT;30;4967.0
PT;31;5637.0
PT;32;5122.0
PT;33;6338.0
PT;331;2665.0
PT;332;6542.0
PT;333;6427.0
PT;334;6268.0
PT;34;8174.0
PT;35;7391.0
PT;36;4124.0
PT;37;3845.0
PT;38;2953.0
PT;39;3995.0
PV;26;1209.0
PV;27;561.0
PV;28;493.0
PV;29;1027.0
PV;30;940.0
PV;31;1883.0
PV;32;840.0
PV;33;1048.0
PV;331;692.0
PV;332;878.0
PV;333;372.0
PV;334;4997.0
PV;34;1216.0
PV;35;1089.0
PV;36;311.0
PV;37;906.0
PV;38;911.0
PV;39;1719.0
REDE;26;1038.0
REDE;27;2387.0
REDE;28;1942.0
REDE;29;440.0
REDE;30;414.0
REDE;31;532.0
REDE;32;477.0
REDE;33;617.0
REDE;331;454.0
REDE;332;866.0
REDE;333;1102.0
REDE;334;474.0
REDE;34;797.0
REDE;35;926.0
REDE;36;292.0
REDE;37;295.0
REDE;38;384.0
REDE;39;396.0
REPUBLICANOS;26;2588.0
REPUBLICANOS;27;3093.0
REPUBLICANOS;28;3778.0
REPUBLICANOS;29;4325.0
REPUBLICANOS;30;3443.0
REPUBLICANOS;31;6099.0
REPUBLICANOS;32;3446.0
REPUBLICANOS;33;1620.0
REPUBLICANOS;331;3728.0
REPUBLICANOS;332;4941.0
REPUBLICANOS;333;7404.0
REPUBLICANOS;334;5097.0
REPUBLICANOS;34;2414.0
REPUBLICANOS;35;2907.0
REPUBLICANOS;36;3645.0
REPUBLICANOS;37;4690.0
REPUBLICANOS;38;3656.0
REPUBLICANOS;39;3868.0
SOLIDARIEDADE;26;1706.0
SOLIDARIEDADE;27;1329.0
SOLIDARIEDADE;28;1532.0
SOLIDARIEDADE;29;1940.0
SOLIDARIEDADE;30;1932.0
SOLIDARIEDADE;31;4668.0
SOLIDARIEDADE;32;4502.0
SOLIDARIEDADE;33;524.0
SOLIDARIEDADE;331;1428.0
SOLIDARIEDADE;332;3732.0
SOLIDARIEDADE;333;4944.0
SOLIDARIEDADE;334;3915.0
SOLIDARIEDADE;34;1288.0
SOLIDARIEDADE;35;1227.0
SOLIDARIEDADE;36;1172.0
SOLIDARIEDADE;37;1700.0
SOLIDARIEDADE;38;7573.0
SOLIDARIEDADE;39;6279.0
UNIÃO;26;1297.0
UNIÃO;27;1985.0
UNIÃO;28;2777.0
UNIÃO;29;1595.0
UNIÃO;30;1820.0
UNIÃO;31;1500.0
UNIÃO;32;1925.0
UNIÃO;33;530.0
UNIÃO;331;4690.0
UNIÃO;332;2725.0
UNIÃO;333;3494.0
UNIÃO;334;3570.0
UNIÃO;34;1538.0
UNIÃO;35;1077.0
UNIÃO;36;4557.0
UNIÃO;37;3482.0
UNIÃO;38;1287.0
UNIÃO;39;2433.0
UP;26;331.0
UP;27;161.0
UP;28;155.0
UP;29;221.0
UP;30;154.0
UP;31;291.0
UP;32;259.0
UP;33;237.0
UP;331;169.0
UP;332;247.0
UP;333;256.0
UP;334;237.0
UP;34;234.0
UP;35;223.0
UP;36;120.0
UP;37;121.0
UP;38;133.0
UP;39;262.0
